2019-05-07T06:45:21+00:00 INFO (6): Bootstrap Bootstrap::_initLogging
2019-05-07T06:46:27+00:00 INFO (6): Bootstrap Bootstrap::_initLogging
2019-05-07T07:36:32+00:00 INFO (6): Bootstrap Inizializzazione Log
2019-05-07T07:36:55+00:00 INFO (6): Bootstrap Inizializzazione Log
2019-05-07T07:37:05+00:00 INFO (6): Bootstrap Inizializzazione Log
2019-05-07T09:44:47+00:00 INFO (6): Bootstrap Inizializzazione Log
2019-05-07T09:45:00+00:00 INFO (6): Bootstrap Inizializzazione Log
2019-05-07T09:45:05+00:00 INFO (6): Bootstrap Inizializzazione Log
2019-05-07T09:45:10+00:00 INFO (6): Bootstrap Inizializzazione Log
2019-05-07T09:45:51+00:00 INFO (6): Bootstrap Inizializzazione Log
2019-05-07T09:45:59+00:00 INFO (6): Bootstrap Inizializzazione Log
2019-05-07T09:52:17+00:00 INFO (6): Bootstrap Inizializzazione Log
2019-05-07T09:52:48+00:00 INFO (6): Bootstrap Inizializzazione Log
2019-05-07T09:53:07+00:00 INFO (6): Bootstrap Inizializzazione Log
2019-05-07T09:53:50+00:00 INFO (6): Bootstrap Inizializzazione Log
2019-05-07T09:54:30+00:00 INFO (6): Bootstrap Inizializzazione Log
2019-05-07T09:54:33+00:00 INFO (6): Bootstrap Inizializzazione Log
2019-05-07T10:02:49+00:00 INFO (6): Bootstrap Inizializzazione Log
2019-05-07T10:27:16+00:00 INFO (6): Bootstrap Inizializzazione Log
2019-05-07T12:22:24+00:00 INFO (6): Bootstrap Inizializzazione Log
2019-05-07T12:24:42+00:00 INFO (6): Bootstrap Inizializzazione Log
2019-05-07T12:25:01+00:00 INFO (6): Bootstrap Inizializzazione Log
2019-05-07T12:25:24+00:00 INFO (6): Bootstrap Inizializzazione Log
2019-05-07T12:29:01+00:00 INFO (6): Bootstrap Inizializzazione Log
2019-05-07T12:29:04+00:00 INFO (6): Bootstrap Inizializzazione Log
2019-05-07T12:29:22+00:00 INFO (6): Bootstrap Inizializzazione Log
2019-05-07T12:30:02+00:00 INFO (6): Bootstrap Inizializzazione Log
2019-05-07T12:30:09+00:00 INFO (6): Bootstrap Inizializzazione Log
2019-05-07T12:30:15+00:00 INFO (6): Bootstrap Inizializzazione Log
2019-05-07T12:35:44+00:00 INFO (6): Bootstrap Inizializzazione Log
2019-05-07T12:35:52+00:00 INFO (6): Bootstrap Inizializzazione Log
2019-05-07T12:36:00+00:00 INFO (6): Bootstrap Inizializzazione Log
2019-05-07T12:36:09+00:00 INFO (6): Bootstrap Inizializzazione Log
2019-05-07T12:36:12+00:00 INFO (6): Bootstrap Inizializzazione Log
2019-05-07T12:36:24+00:00 INFO (6): Bootstrap Inizializzazione Log
2019-05-07T12:36:27+00:00 INFO (6): Bootstrap Inizializzazione Log
2019-05-07T12:36:30+00:00 INFO (6): Bootstrap Inizializzazione Log
2019-05-07T12:37:30+00:00 INFO (6): Bootstrap Inizializzazione Log
2019-05-07T12:37:41+00:00 INFO (6): Bootstrap Inizializzazione Log
2019-05-07T12:37:55+00:00 INFO (6): Bootstrap Inizializzazione Log
2019-05-07T12:38:16+00:00 INFO (6): Bootstrap Inizializzazione Log
2019-05-07T12:38:47+00:00 INFO (6): Bootstrap Inizializzazione Log
2019-05-07T12:39:31+00:00 INFO (6): Bootstrap Inizializzazione Log
2019-05-07T12:42:28+00:00 INFO (6): Bootstrap Inizializzazione Log
2019-05-07T13:20:26+00:00 INFO (6): Bootstrap Inizializzazione Log
2019-05-07T13:20:44+00:00 INFO (6): Bootstrap Inizializzazione Log
2019-05-07T13:20:50+00:00 INFO (6): Bootstrap Inizializzazione Log
2019-05-07T13:39:37+00:00 INFO (6): Bootstrap Inizializzazione Log
2019-05-07T13:44:22+00:00 INFO (6): Bootstrap Inizializzazione Log
2019-05-07T14:51:55+00:00 INFO (6): Bootstrap Inizializzazione Log
2019-05-07T14:52:19+00:00 INFO (6): Bootstrap Inizializzazione Log
2019-05-07T14:52:21+00:00 INFO (6): Bootstrap Inizializzazione Log
2019-05-07T15:05:44+00:00 INFO (6): Bootstrap Inizializzazione Log
2019-05-07T15:06:13+00:00 INFO (6): Bootstrap Inizializzazione Log
2019-05-07T15:07:25+00:00 INFO (6): Bootstrap Inizializzazione Log
2019-05-07T15:08:38+00:00 INFO (6): Bootstrap Inizializzazione Log
2019-05-07T15:11:01+00:00 INFO (6): Bootstrap Inizializzazione Log
2019-05-07T15:11:39+00:00 INFO (6): Bootstrap Inizializzazione Log
2019-05-07T15:12:28+00:00 INFO (6): Bootstrap Inizializzazione Log
2019-05-07T15:12:44+00:00 INFO (6): Bootstrap Inizializzazione Log
2019-05-07T15:13:46+00:00 INFO (6): Bootstrap Inizializzazione Log
